First Name,Last Name,Bio,MIT,WebName,Title,Job Title,Role ,Keynote,Mentor,headshot,Interview,Email,Wait,LinkedIn
,,,,,,,,,,,,,,
Maier,Avendano,"Maier Avendaño is a senior associate at Flagship Pioneering, a life science innovation enterprise where his group leads the firm's agricultural activities. His group focuses on entrepreneurial activities related to life sciences with a particular interest in food, nutrition, health, and sustainability. Maier is also the co-founder and head of innovation at Invaio sciences, one of the newest companies founded by Flagship Pioneering in the VentureLabs innovation foundry. As an entrepreneurial scientist with multidisciplinary expertise, Maier conducts scientific explorations to discover unexplored biological mechanisms and new biotechnologies. Maier develops the science, intellectual property, and business strategy that form the foundation of the firm's breakthrough startups. Maier received his Ph.D. from Harvard University and completed his post-doctoral fellowship at the Wyss Institute. He has received several competitive fellowships and recognitions, and he is also passionate about education. In 2015 he founded Clubes de Ciencia Colombia, an educational program that expands access to high-quality STEM education for youth in Latin America. Maier has led this program since its founding.",Harvard,Maier Avendaño Amado,Dr.,"Senior Associate, Flagship Pioneering && Head of Innovation, Invaio Sciences ",Panelist,N,U,majer.jpg,,,,https://www.linkedin.com/in/maier-avendaño-a5a1b72a/
Pierpaolo,Barbieri,"Pierpaolo Barbieri is the founder of Ualá, a mobile banking startup developed in Argentina,​ and executive director of Greenmantle, a macroeconomic and geopolitical advisory firm with offices across the U.S. He holds an AB magna cum laude from Harvard and an MPhil from Cambridge. He was Lt. Charles Henry Fiske III Scholar at Trinity College, Cambridge and Ernest May Fellow at the Harvard Kennedy School, where he is now senior associate at the Belfer Center’s Applied History Project. His first book, Hitler's Shadow Empire, has been published in the U.S., UK, Italy, Spain, Argentina, and China. He speaks Italian, Spanish and French.
",Harvard,Pierpaolo Barbieri,Mr.,"CEO & Founder, Ualá",Panelist,N,U,barb.jpg,,,,https://www.linkedin.com/in/pierpaolo-barbieri-4686851b/
Diego,Benitez,"Diego Benitez is currently the general director of SiembraViva, a company which has received capital and investments from Angeles Inversionistas and funds from Inversión Social. He has a Master’s degree in international business (MIB) from the Grenoble Graduate School of Business in France (2007-2009). In 2011, he quit his job at Bancolombia, where he had worked for more than nine years, in order to dedicate himself to entrepreneurship. Initially, he completed a course in advisory entrepreneurship at the University of San Francisco and from this experience he became a part of more than thirteen projects of entrepreneurship and innovation. Then he started his career as an entrepreneur, working as part of the managerial team of DiscoveryCast, a virtual platform created in Silicon Valley. Since August 2012, he has devoted himself to his own project: SiembraViva. With over seven year of experience in social entrepreneurship, he believes that market forces can re-shape and re-balance our relationship with others and our planet. ",N,Diego Benitez,Mr.,"CEO & Founder, SiembraViva",Panelist,N,U,diego.jpg,,,,https://www.linkedin.com/in/dbenitez/
Martin,Burt,"Martin Burt is a social entrepreneur and global leader. As CEO and founder of Fundación Paraguaya, an NGO devoted to developing solutions to eliminate poverty, he has become a pioneer in microfinance, youth entrepreneurship, financial literacy, and technical vocational methodologies in over 30 countries. He is co-founder of Teach a Man to Fish, an NGO based in London that promotes “education that pays for itself”, and he is founder and CEO of Poverty Stoplight, a new poverty measurement and coaching tool that uses technology to allow families to self-diagnose and eliminate multidimensional poverty. Martin is a member of the Board of Directors of the Schwab Foundation for Social Entrepreneurship at the World Economic Forum and of the Global Foodbanking Network. He holds a PhD from Tulane University and is a Visiting Professor of Social Entrepreneurship at Worcester Polytechnic Institute and Distinguished Visiting Professor at University of California, Irvine. As a public servant, he has served as Chief of Staff to the President of Paraguay, Mayor of Asunción, and Vice Minister of Commerce. ",N,Martin Burt,Dr.,"CEO & Founder, Poverty Spotlight",Panelist,N,U,martin.jpg,,,Y,https://www.linkedin.com/in/martinburt/
Felipe ,Chávez,"Felipe Chávez is the CEO and co-founder of Kiwi Campus, a company that uses a robotic courier to deliver products to the customer's door. Dedicated to autonomous robotics, Felipe founded Kiwi Campus to distribute food to residents within the campuses of the University of California at Berkeley and Los Angeles. His vision won him recognition as a 2018 Latin American Innovator under 35 according to MIT Technology Review. In recognition of resistance to the growth of technological solutions, Felipe aims to prevent automation from taking away jobs and relies on human-robot cooperation for successful delivery. Previously, Felipe founded and led both Lulo, an online grocery store, and Onlulo, a platform that provides IT tools for SMBs, as CEO. ",N,Felipe Chávez ,Mr.,"CEO & Co-founder, Kiwi Campus",Panelist,N,U,felipe.jpg,,,,https://www.linkedin.com/in/felipe-chaves-bernal-a3b87029/
Alejandro,Franco,"Alejandro Franco is the current executive director of Ruta N, Medellin’s business and innovation center. He is an administrative engineer from the University EIA (Medellin, Colombia) and holds a Master’s degree in innovation and entrepreneurship from Manchester University (Manchester, UK). With more than 15 years of experience being an entrepreneur and then working in private and public sector, he is dedicated to promoting innovation as the key engine of economic development. He has broad experience in innovation and technology strategy development and management and in the technology transfer processes. ",N,Alejandro Franco Restrepo,Mr.,"Executive Director, Ruta N in Medellín",Workshop Leader,N,U,alejandro.jpg,,,Y,https://www.linkedin.com/in/alejandro-franco-54b9144a/?originalSubdomain=co
Sorin,Grama,"Sorin is the CEO of Transaera, a startup developing a new class of energy-efficient climate systems for indoor farms using a novel desiccant material discovered at MIT.  
Sorin co-founded and served as CEO and CTO of Promethean Power Systems, a manufacturer of thermal energy storage systems for refrigeration & cold-storage applications.   He is the principal inventor of Promethean’s thermal battery, an energy storage device that provides effective backup in areas with unpredictable grid power.  Dairy farmers in rural India are using this battery to chill milk at village collection centers.  
Sorin is also one of the founders of Greentown Labs, a grassroots effort which has grown to become the nation’s largest cleantech incubator. He is trained as an electrical engineer, holds an MS in Engineering and Management from Massachusetts Institute of Technology and currently teaches an undergraduate product design course at MIT.  He is originally from Romania.",Y,Sorin Grama,Mr. ,"Co-Founder, Transaera, Inc.",Workshop Leader & Fireside Chat Moderator,N,U,sorin.jpg,,,,https://www.linkedin.com/in/sorin-grama/
Isabel,Guerrero,"Isabel Guerrero has spent the last five years building IMAGO Global Grassroots (GG), a nonprofit that works with grassroots, social entrepreneurs, and governments around the world to scale up innovations from the Base of the Pyramid. In addition to being the executive director of IMAGOGG, she teaches “Scaling up for Development Impact “ at Harvard Kennedy School (HKS). She also teaches how to scale up at HKS executive education for the Schwab Foundation for Social Entrepreneurs and for the Bernard Van Leer Foundation. Isabel is an economist who worked at the World Bank for most of her professional life, including as VP for South Asia where she managed a 39 billion-dollar portfolio between 2008 and 2013. Before that, she was a country director for Bolivia, Colombia, Ecuador, India, Mexico, Peru, and Paraguay. Isabel received her MSc in Economics from the London School of Economics and trained as a psychoanalyst at the Washington Psychoanalytic Institute and the Peruvian Psychoanalytic Society. She sits on the Board of the UN University and is a frequent guest at CNN Dinero.
",Harvard,Isabel Guerrero ,Ms.,"Director, IMAGO Global Grassroots && Lecturer, Harvard Kennedy School",Workshop Leader,N,U,isabel.jpg,,,,https://www.linkedin.com/in/isabel-guerrero-40320499/
Chris,Howard,"Chris Howard is a serial technology and music entrepreneur. Founding his first startup at MIT in 2009, Chris has helped launch global startup accelerators (including MassChallenge and Techstars), become an active investor in Boston and London, UK, and is now on a personal quest to find the weird and wonderful of humankind to help talented makers of amazing things become founders of their own companies. Chris does not believe in the traditional startup methods (e.g., The Lean Startup, Business Model Canvas, Agile Iteration). If everyone follows the same rules, for roughly the same ideas, he believes that we will create roughly the same average companies. Because of this, Chris champions an emerging philosophy in startups: to be original. Alongside being the co-founding CEO of The Rattle, Chris regularly teaches his entrepreneurial course ""How to be an original founder"" at some of the world's most respected institutions, including University College London, Hult Business School, and now MIT GSW. ",Y,Chris Howard,Mr.,"CEO & Co-Founder, The Rattle",Workshop Leader & Fireside Chat Moderator,N,U,chris_h.jpg,,,,https://www.linkedin.com/in/ckhoward/
